iteration,rtt_ms,status
1312,0.702,ok
1313,0.593,ok
1314,0.648,ok
1315,0.612,ok
1316,0.562,ok
1317,0.593,ok
1318,0.578,ok
1319,0.588,ok
1320,0.525,ok
1321,0.447,ok
1322,0.501,ok
1323,0.554,ok
1324,0.418,ok
1325,0.476,ok
1326,0.452,ok
1327,0.561,ok
1328,0.590,ok
1329,0.517,ok
1330,0.465,ok
1331,0.465,ok
1332,0.478,ok
1333,0.524,ok
1334,0.489,ok
1335,0.449,ok
1336,0.430,ok
1337,0.380,ok
1338,0.373,ok
1339,0.360,ok
1340,0.345,ok
1341,0.405,ok
1342,0.361,ok
1343,0.410,ok
1344,0.478,ok
1345,0.496,ok
1346,0.432,ok
1347,0.456,ok
1348,0.470,ok
1349,0.426,ok
1350,0.394,ok
1351,0.383,ok
1352,0.676,ok
1353,0.562,ok
1354,1.215,ok
1355,2.211,ok
1356,0.466,ok
1357,0.452,ok
1358,0.438,ok
1359,0.634,ok
1360,0.606,ok
1361,0.738,ok
1362,0.637,ok
1363,0.455,ok
1364,0.444,ok
1365,0.492,ok
1366,0.603,ok
1367,0.708,ok
1368,1.171,ok
1369,0.821,ok
1370,0.713,ok
1371,0.665,ok
1372,0.669,ok
1373,0.694,ok
1374,0.577,ok
1375,0.666,ok
1376,0.581,ok
1377,0.630,ok
1378,0.655,ok
1379,0.511,ok
1380,0.436,ok
1381,0.461,ok
1382,0.437,ok
1383,0.432,ok
1384,0.478,ok
1385,0.428,ok
1386,0.613,ok
1387,0.669,ok
1388,0.534,ok
1389,0.537,ok
1390,0.514,ok
1391,0.431,ok
1392,0.571,ok
1393,1.032,ok
1394,0.610,ok
1395,1.283,ok
1396,0.666,ok
1397,0.684,ok
1398,0.826,ok
1399,1.498,ok
1400,0.647,ok
1401,0.607,ok
1402,0.622,ok
1403,0.576,ok
1404,0.590,ok
1405,0.599,ok
1406,0.702,ok
1407,0.568,ok
1408,0.480,ok
1409,0.387,ok
1410,0.376,ok
1411,0.493,ok
1412,0.420,ok
1413,0.420,ok
1414,0.465,ok
1415,0.504,ok
1416,0.481,ok
1417,0.444,ok
1418,0.397,ok
1419,0.353,ok
1420,0.375,ok
1421,0.351,ok
1422,0.435,ok
1423,0.544,ok
1424,0.492,ok
1425,0.505,ok
1426,0.451,ok
1427,0.364,ok
1428,0.378,ok
1429,0.459,ok
1430,0.519,ok
1431,0.483,ok
1432,0.450,ok
1433,0.532,ok
1434,0.469,ok
1435,0.472,ok
1436,1.026,ok
1437,1.054,ok
1438,0.891,ok
1439,0.831,ok
1440,0.701,ok
1441,0.777,ok
1442,0.664,ok
1443,0.557,ok
1444,0.526,ok
1445,0.642,ok
1446,0.675,ok
1447,0.696,ok
1448,0.676,ok
1449,0.661,ok
1450,0.619,ok
1451,0.533,ok
1452,0.471,ok
1453,0.493,ok
1454,0.493,ok
1455,0.484,ok
1456,0.482,ok
1457,0.588,ok
1458,0.497,ok
1459,0.760,ok
1460,0.666,ok
1461,0.597,ok
1462,0.536,ok
1463,0.556,ok
1464,37.960,ok
1465,0.784,ok
1466,0.670,ok
1467,0.742,ok
1468,0.707,ok
1469,0.674,ok
1470,0.697,ok
1471,0.659,ok
1472,1.423,ok
1473,0.785,ok
1474,0.716,ok
1475,0.679,ok
1476,0.641,ok
1477,0.616,ok
1478,0.570,ok
1479,0.628,ok
1480,0.624,ok
1481,0.583,ok
1482,0.617,ok
1483,0.544,ok
1484,0.664,ok
1485,0.745,ok
1486,0.603,ok
1487,0.643,ok
1488,0.691,ok
1489,0.782,ok
1490,0.796,ok
1491,0.612,ok
